,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,index,namematch_collector,namematch_wikidata,namematch_distance
288,Allorge,L.,,,,,,,"Allorge, L.",5,https://herbarium.bgbm.org/object/B100144997,20098,"Allorge, L.","Allorge, L.",0.0
289,Allorge,P.,,,,,,,"Allorge, P.",1,https://je.jacq.org/JE04004935,18687,"Allorge, P.","Allorge, P.",0.0
290,Allred,K.,,,,,,,"Allred, K.",1,http://id.snsb.info/snsb/collection/445763/546159/228663,19379,"Allred, K.","Allred, K.",0.0
294,Almborn,O.,,,,,,,"Almborn, O.",1,https://dr.jacq.org/DR058081,2173,"Almborn, O.","Almborn, O.",0.0
295,Almeda,F.,,,,,,,"Almeda, F.",4,http://id.snsb.info/snsb/collection/119070/177869/120015,1020,"Almeda, F.","Almeda, F.",0.0
300,Almquist,S.O.I.,,,,,,,"Almquist, S.O.I.",2,http://id.snsb.info/snsb/collection/118876/177675/119826,20157,"Almquist, S.O.I.","Almquist, S.O.I.",0.0
307,Alschinger,A.,,,,,,,"Alschinger, A.",18,https://herbarium.bgbm.org/object/B100749399,2115,"Alschinger, A.","Alschinger, A.",0.0
15,Alschinger,Andreas,,,,,,,"Alschinger, Andreas",1,https://herbarium.bgbm.org/object/B100749292,204,"Alschinger, Andreas","Alschinger, Andreas",0.0
310,Alston,A.H.G.,,,,,,,"Alston, A.H.G.",1,https://herbarium.bgbm.org/object/B200075338,15524,"Alston, A.H.G.","Alston, A.H.G.",0.0
311,Alstrup,V.,,,,,,,"Alstrup, V.",5,https://herbarium.bgbm.org/object/B100017157,15734,"Alstrup, V.","Alstrup, V.",0.0
338,Alverson,W.S.,,,,,,,"Alverson, W.S.",1,https://herbarium.bgbm.org/object/B100244022,899,"Alverson, W.S.","Alverson, W.S.",0.0
339,Alziar,G.,,,,,,,"Alziar, G.",56,https://herbarium.bgbm.org/object/B100190610,526,"Alziar, G.","Alziar, G.",0.0
342,Amakawa,T.,,,,,,,"Amakawa, T.",4,https://je.jacq.org/JE04009980,9506,"Amakawa, T.","Amakawa, T.",0.0
343,Amann,J.J.,,,,,,,"Amann, J.J.",2,https://je.jacq.org/JE04001380,2201,"Amann, J.J.","Amann, J.J.",0.0
351,Ambrosi,F.,,,,,,,"Ambrosi, F.",2,https://je.jacq.org/JE00016407,16408,"Ambrosi, F.","Ambrosi, F.",0.0
355,Amdjah,,,,,,,,Amdjah,3,https://herbarium.bgbm.org/object/B100272313,10718,Amdjah,Amdjah,0.0
360,Ameghino,C.,,,,,,,"Ameghino, C.",2,https://herbarium.bgbm.org/object/B100386857,1059,"Ameghino, C.","Ameghino, C.",0.0
362,Ames,M.E.P.,,,,,,,"Ames, M.E.P.",1,https://herbarium.bgbm.org/object/B100294655,6460,"Ames, M.E.P.","Ames, M.E.P.",0.0
364,Amherst,S.,,,,,,,"Amherst, S.",1,http://id.snsb.info/snsb/collection/501554/622788/280344,5339,"Amherst, S.","Amherst, S.",0.0
366,Amin,K.S.,,,,,,,"Amin, K.S.",1,http://id.snsb.info/snsb/collection/468914/575217/247866,5560,"Amin, K.S.","Amin, K.S.",0.0
370,Amorim,A.M.,,,,,,,"Amorim, A.M.",1,http://id.snsb.info/snsb/collection/715187/779565/421007,7686,"Amorim, A.M.","Amorim, A.M.",0.0
371,Amoroso,,,,,,,,Amoroso,1,https://herbarium.bgbm.org/object/B100244265,19421,Amoroso,Amoroso,0.0
372,Amshoff,G.J.H.,,,,,,,"Amshoff, G.J.H.",1,https://herbarium.bgbm.org/object/B100629912,10302,"Amshoff, G.J.H.","Amshoff, G.J.H.",0.0
385,Anders,J.,,,,,,,"Anders, J.",3,https://herbarium.bgbm.org/object/B100296443,12285,"Anders, J.","Anders, J.",0.0
386,Anders,O.,,,,,,,"Anders, O.",53,http://id.snsb.info/snsb/collection/117840/176640/118893,6108,"Anders, O.","Anders, O.",0.0
392,Anderson,C.L.,,,,,,,"Anderson, C.L.",1,https://herbarium.bgbm.org/object/B100241523,13418,"Anderson, C.L.","Anderson, C.L.",0.0
397,Anderson,J.,,,,,,,"Anderson, J.",2,http://id.snsb.info/snsb/collection/118020/176820/119051,17578,"Anderson, J.","Anderson, J.",0.0
398,Anderson,J.L.,,,,,,,"Anderson, J.L.",1,https://herbarium.bgbm.org/object/B100161702,15212,"Anderson, J.L.","Anderson, J.L.",0.0
399,Anderson,R.,,,,,,,"Anderson, R.",1,https://herbarium.bgbm.org/object/B700004761,8764,"Anderson, R.","Anderson, R.",0.0
401,Anderson,T.,,,,,,,"Anderson, T.",6,http://id.snsb.info/snsb/collection/467615/571969/246567,19747,"Anderson, T.","Anderson, T.",0.0
402,Anderson,W.,,,,,,,"Anderson, W.",6,https://herbarium.bgbm.org/object/B101147325,8922,"Anderson, W.","Anderson, W.",0.0
403,Anderson,W.R.,,,,,,,"Anderson, W.R.",7,http://id.snsb.info/snsb/collection/25690/34468/25254,13961,"Anderson, W.R.","Anderson, W.R.",0.0
405,Andersson,A.,,,,,,,"Andersson, A.",7,https://herbarium.bgbm.org/object/B100212980,17903,"Andersson, A.","Andersson, A.",0.0
409,Andersson,L.,,,,,,,"Andersson, L.",3,https://herbarium.bgbm.org/object/B100093708II,11084,"Andersson, L.","Andersson, L.",0.0
410,Andersson,N.J.,,,,,,,"Andersson, N.J.",21,http://id.snsb.info/snsb/collection/472780/582069/253864,17346,"Andersson, N.J.","Andersson, N.J.",0.0
413,Ando,H.,,,,,,,"Ando, H.",2,https://je.jacq.org/JE04009993,13922,"Ando, H.","Ando, H.",0.0
418,Andrade,G.,,,,,,,"Andrade, G.",1,http://id.snsb.info/snsb/collection/520794/644324/302506,670,"Andrade, G.","Andrade, G.",0.0
426,Andreas,C.H.,,,,,,,"Andreas, C.H.",315,https://herbarium.bgbm.org/object/B100648544,19413,"Andreas, C.H.","Andreas, C.H.",0.0
428,Andreev,N.,,,,,,,"Andreev, N.",4,https://herbarium.bgbm.org/object/B100076176,11538,"Andreev, N.","Andreev, N.",0.0
432,Andres,H.,,,,,,,"Andres, H.",12,https://herbarium.bgbm.org/object/B100591943,7222,"Andres, H.","Andres, H.",0.0
434,Andrews,F.W.,,,,,,,"Andrews, F.W.",1,https://je.jacq.org/JE04008568,6482,"Andrews, F.W.","Andrews, F.W.",0.0
435,Andreánszky,G.,,,,,,,"Andreánszky, G.",2,https://dr.jacq.org/DR066417,12158,"Andreánszky, G.","Andreánszky, G.",0.0
436,Andrianarisata,M.,,,,,,,"Andrianarisata, M.",1,http://id.snsb.info/snsb/collection/504196/625465/282973,10020,"Andrianarisata, M.","Andrianarisata, M.",0.0
437,Andriantiana,J.,,,,,,,"Andriantiana, J.",1,https://herbarium.bgbm.org/object/B100046309,9431,"Andriantiana, J.","Andriantiana, J.",0.0
439,Andrieux,G.,,,,,,,"Andrieux, G.",76,http://id.snsb.info/snsb/collection/195477/479456/177253,14115,"Andrieux, G.","Andrieux, G.",0.0
444,Androssov,N.V.,,,,,,,"Androssov, N.V.",19,http://id.snsb.info/snsb/collection/117831/176631/118884,11375,"Androssov, N.V.","Androssov, N.V.",0.0
445,Andrus,R.E.,,,,,,,"Andrus, R.E.",2,https://je.jacq.org/JE04007250,17137,"Andrus, R.E.","Andrus, R.E.",0.0
446,Andrä,,,,,,,,Andrä,4,https://herbarium.bgbm.org/object/B101068351,13606,Andrä,"André, É.",0.0
447,André,,,,,,,,André,6,https://je.jacq.org/JE04009190,12960,André,"André, É.",0.0
452,Angelis,M.,,,,,,,"Angelis, M.",1,https://je.jacq.org/JE00002949,1808,"Angelis, M.","Angelis, M.",0.0
471,Ansari,M.Y.,,,,,,,"Ansari, M.Y.",1,http://id.snsb.info/snsb/collection/467522/571876/246474,153,"Ansari, M.Y.","Ansari, M.Y.",0.0
477,Antezana,C.,,,,,,,"Antezana, C.",1,https://herbarium.bgbm.org/object/B100522485,9947,"Antezana, C.","Antezana, C.",0.0
479,Anthony,J.,,,,,,,"Anthony, J.",1,https://herbarium.bgbm.org/object/B100844010,5489,"Anthony, J.","Anthony, J.",0.0
481,Anton,H.,,,,,,,"Anton, H.",2,https://je.jacq.org/JE04001528,5398,"Anton, H.","Anton, H.",0.0
484,Antonio,T.M.,,,,,,,"Antonio, T.M.",1,http://id.snsb.info/snsb/collection/501076/622295/279879,5520,"Antonio, T.M.","Antonio, T.M.",0.0
488,Antunes,J.M.,,,,,,,"Antunes, J.M.",37,https://herbarium.bgbm.org/object/B100167751,15929,"Antunes, J.M.","Antunes, J.M.",0.0
493,Aparicio,A.,,,,,,,"Aparicio, A.",8,https://herbarium.bgbm.org/object/B100190610,8497,"Aparicio, A.","Aparicio, A.",0.0
510,Appan,S.G.,,,,,,,"Appan, S.G.",1,http://id.snsb.info/snsb/collection/652810/709530/358508,10804,"Appan, S.G.","Appan, S.G.",0.0
514,Appel,O.,,,,,,,"Appel, O.",230,https://herbarium.bgbm.org/object/B100741685,19429,"Appel, O.","Appel, O.",0.0
516,Appun,C.F.,,,,,,,"Appun, C.F.",8,http://id.snsb.info/snsb/collection/489008/601244/270892,17347,"Appun, C.F.","Appun, C.F.",0.0
529,Aralbaev,N.K.,,,,,,,"Aralbaev, N.K.",2,https://herbarium.bgbm.org/object/B100743017,10035,"Aralbaev, N.K.","Aralbaev, N.K.",0.0
540,Araujo-Murakami,A.,,,,,,,"Araujo-Murakami, A.",2,https://herbarium.bgbm.org/object/B100413059,18960,"Araujo-Murakami, A.","Araujo-Murakami, A.",0.0
546,Arcangeli,G.,,,,,,,"Arcangeli, G.",1,https://je.jacq.org/JE00022170,11729,"Arcangeli, G.","Arcangeli, G.",0.0
548,Arce,G.,,,,,,,"Arce, G.",1,https://herbarium.bgbm.org/object/B100522479,429,"Arce, G.","Arce, G.",0.0
550,Archer,W.,,,,,,,"Archer, W.",4,http://id.snsb.info/snsb/collection/464528/566102/243374,696,"Archer, W.","Archer, W.",0.0
551,Archer,W.A.,,,,,,,"Archer, W.A.",9,https://je.jacq.org/JE04001675,13674,"Archer, W.A.","Archer, W.A.",0.0
562,Arechavaleta,J.,,,,,,,"Arechavaleta, J.",1,https://herbarium.bgbm.org/object/B101113983,15920,"Arechavaleta, J.","Arechavaleta, J.",0.0
564,Arends,J.C.,,,,,,,"Arends, J.C.",2,https://herbarium.bgbm.org/object/B100157278,11982,"Arends, J.C.","Arends, J.C.",0.0
565,Areschoug,F.W.C.,,,,,,,"Areschoug, F.W.C.",1,https://herbarium.bgbm.org/object/B100295276,7510,"Areschoug, F.W.C.","Areschoug, F.W.C.",0.0
569,Argent,G.C.G.,,,,,,,"Argent, G.C.G.",1,http://id.snsb.info/snsb/collection/738054/810469/436969,1730,"Argent, G.C.G.","Argent, G.C.G.",0.0
573,Arias,I.,,,,,,,"Arias, I.",157,https://herbarium.bgbm.org/object/B100240294,18120,"Arias, I.","Arias, I.",0.0
576,Arias,S.,,,,,,,"Arias, S.",4,https://herbarium.bgbm.org/object/B101143202,14070,"Arias, S.","Arias, S.",0.0
577,Aristeguieta,L.,,,,,,,"Aristeguieta, L.",3,https://herbarium.bgbm.org/object/B600128715,11100,"Aristeguieta, L.","Aristeguieta, L.",0.0
583,Armağan,M.,,,,,,,"Armağan, M.",1,https://herbarium.bgbm.org/object/B100676136,5264,"Armağan, M.","Armağan, M.",0.0
586,Armitage,E.,,,,,,,"Armitage, E.",1,http://id.snsb.info/snsb/collection/460635/561483/239437,7039,"Armitage, E.","Armitage, E.",0.0
25,Arnaud,Ch,,,,,,,"Arnaud, Ch",1,https://dr.jacq.org/DR083090,101,"Arnaud, Ch","Arnaud, Ch",0.0
592,Arndt,C.H.,,,,,,,"Arndt, C.H.",3,https://herbarium.bgbm.org/object/B101086248,7168,"Arndt, C.H.","Arndt, C.H.",0.0
593,Arnell,H.W.,,,,,,,"Arnell, H.W.",32,https://herbarium.bgbm.org/object/B300005319,1930,"Arnell, H.W.","Arnell, H.W.",0.0
600,Arnold,F.C.G.,,,,,,,"Arnold, F.C.G.",16,http://id.snsb.info/snsb/collection/118634/177433/119592,13566,"Arnold, F.C.G.","Arnold, F.C.G.",0.0
602,Arnold,G.R.W.,,,,,,,"Arnold, G.R.W.",37,https://herbarium.bgbm.org/object/B700005772,8586,"Arnold, G.R.W.","Arnold, G.R.W.",0.0
603,Arnold,N.,,,,,,,"Arnold, N.",5,https://herbarium.bgbm.org/object/B180010783,19514,"Arnold, N.","Arnold, N.",0.0
607,Aronson,J.,,,,,,,"Aronson, J.",1,http://id.snsb.info/snsb/collection/655249/712716/361303,986,"Aronson, J.","Aronson, J.",0.0
608,Aroza,P.,,,,,,,"Aroza, P.",1,https://herbarium.bgbm.org/object/B100354759,17033,"Aroza, P.","Aroza, P.",0.0
610,Arrigoni,P.V.,,,,,,,"Arrigoni, P.V.",6,http://id.snsb.info/snsb/collection/722131/789194/425036,4573,"Arrigoni, P.V.","Arrigoni, P.V.",0.0
614,Arroyo,F.,,,,,,,"Arroyo, F.",1,https://herbarium.bgbm.org/object/B100740002,10838,"Arroyo, F.","Arroyo, F.",0.0
619,Arruda,A.J.,,,,,,,"Arruda, A.J.",3,https://herbarium.bgbm.org/object/B200182233,16673,"Arruda, A.J.","Arruda, A.J.",0.0
622,Arsène,G.,,,,,,,"Arsène, G.",52,https://herbarium.bgbm.org/object/B100146565,20061,"Arsène, G.","Arsène, G.",0.0
624,Arsène,L.,,,,,,,"Arsène, L.",2,http://id.snsb.info/snsb/collection/408492/477792/192375,7692,"Arsène, L.","Arsène, L.",0.0
626,Arséne,L.,,,,,,,"Arséne, L.",1,https://herbarium.bgbm.org/object/B200070408,19777,"Arséne, L.","Arsène, L.",0.0
627,Artaria,F.A.,,,,,,,"Artaria, F.A.",11,https://je.jacq.org/JE04007416,3131,"Artaria, F.A.","Artaria, F.A.",0.0
628,Artelari,R.,,,,,,,"Artelari, R.",6,http://id.snsb.info/snsb/collection/459367/560068/238216,1299,"Artelari, R.","Artelari, R.",0.0
629,Arthur,J.C.,,,,,,,"Arthur, J.C.",1,https://dr.jacq.org/DR049329,13214,"Arthur, J.C.","Arthur, J.C.",0.0
638,Arzolla,F.A.R.D.P.,,,,,,,"Arzolla, F.A.R.D.P.",2,http://id.snsb.info/snsb/collection/667473/726054/373708,8653,"Arzolla, F.A.R.D.P.","Arzolla, F.A.R.D.P.",0.0
644,Asahina,Y.,,,,,,,"Asahina, Y.",1,https://herbarium.bgbm.org/object/B600325479,6598,"Asahina, Y.","Asahina, Y.",0.0
646,Asanza,M.,,,,,,,"Asanza, M.",1,http://id.snsb.info/snsb/collection/676967/738374/383733,17751,"Asanza, M.","Asanza, M.",0.0
649,Aschenborn,A.,,,,,,,"Aschenborn, A.",36,https://je.jacq.org/JE00001000,17060,"Aschenborn, A.","Aschenborn, A.",0.0
652,Ascherson,P.F.A.,,,,,,,"Ascherson, P.F.A.",16,http://id.snsb.info/snsb/collection/665259/723627/371385,1461,"Ascherson, P.F.A.","Ascherson, P.F.A.",0.0
656,Asensi,A.,,,,,,,"Asensi, A.",1,https://herbarium.bgbm.org/object/B101206042,9014,"Asensi, A.","Asensi, A.",0.0
659,Ashby,A.M.,,,,,,,"Ashby, A.M.",1,https://herbarium.bgbm.org/object/B100127229,9433,"Ashby, A.M.","Ashby, A.M.",0.0
663,Asonganyi,J.N.,,,,,,,"Asonganyi, J.N.",1,https://herbarium.bgbm.org/object/B180006570,15813,"Asonganyi, J.N.","Asonganyi, J.N.",0.0
664,Asplund,E.,,,,,,,"Asplund, E.",103,https://je.jacq.org/JE04007788,12995,"Asplund, E.","Asplund, E.",0.0
666,Assadi,M.,,,,,,,"Assadi, M.",28,http://id.snsb.info/snsb/collection/468868/575171/247820,19773,"Assadi, M.","Assadi, M.",0.0
674,Atasrip,,,,,,,,Atasrip,2,https://herbarium.bgbm.org/object/B100272891,15940,Atasrip,Atasrip,0.0
677,Athanasiou,K.,,,,,,,"Athanasiou, K.",12,https://herbarium.bgbm.org/object/B100468830,7492,"Athanasiou, K.","Athanasiou, K.",0.0
679,Atkins,S.,,,,,,,"Atkins, S.",1,https://herbarium.bgbm.org/object/B100603416,17734,"Atkins, S.","Atkins, S.",0.0
680,Atkinson,G.F.,,,,,,,"Atkinson, G.F.",1,https://herbarium.bgbm.org/object/B200220411,9566,"Atkinson, G.F.","Atkinson, G.F.",0.0
685,Attar,F.,,,,,,,"Attar, F.",4,http://id.snsb.info/snsb/collection/468874/575177/247826,8745,"Attar, F.","Attar, F.",0.0
687,Atwood,J.T.,,,,,,,"Atwood, J.T.",2,https://herbarium.bgbm.org/object/B100146141,19070,"Atwood, J.T.","Atwood, J.T.",0.0
688,Atwood,N.D.,,,,,,,"Atwood, N.D.",8,https://herbarium.bgbm.org/object/B100249875,10908,"Atwood, N.D.","Atwood, N.D.",0.0
692,Aublet,J.B.C.F.,,,,,,,"Aublet, J.B.C.F.",4,http://id.snsb.info/snsb/collection/463877/565216/242724,7382,"Aublet, J.B.C.F.","Aublet, J.B.C.F.",0.0
695,Aubréville,A.,,,,,,,"Aubréville, A.",1,https://herbarium.bgbm.org/object/B100325367,10712,"Aubréville, A.","Aubréville, A.",0.0
698,Aucher-Éloy,P.M.R.,,,,,,,"Aucher-Éloy, P.M.R.",1,https://herbarium.bgbm.org/object/B100279440,10742,"Aucher-Éloy, P.M.R.","Aucher-Éloy, P.M.R.",0.0
699,Audibert,U.,,,,,,,"Audibert, U.",1,https://herbarium.bgbm.org/object/B200077516,14252,"Audibert, U.","Audibert, U.",0.0
702,Auerswald,B.,,,,,,,"Auerswald, B.",20,https://dr.jacq.org/DR048893,5927,"Auerswald, B.","Auerswald, B.",0.0
29,Auerswald,Bernhard,,,,,,,"Auerswald, Bernhard",2,https://dr.jacq.org/DR022081,271,"Auerswald, Bernhard","Auerswald, Bernhard",0.0
712,Aunier,J.J.N.A.,,,,,,,"Aunier, J.J.N.A.",1,https://je.jacq.org/JE00018057,12480,"Aunier, J.J.N.A.","Aunier, J.J.N.A.",0.0
